"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Congo, République démocratique du","COD","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","1.47E-05","2.74E-05","4.34E-05","4.31E-05","5.31E-05","8.43E-05","0.000121","0.000171","0.00017","0.000157","0.000171","0.000316","0.00029","0.000319","0.000461","0.000599","0.0011","0.00142","0.001047","0.00282","0.00339","0.00643","0.00671","0.0134","0.0106","0.134","0.0858","0.11","2.28","184","11797","","","44800000","110100000","42800000","600200000","2901000000","","","31908000000","54983000000","78292000000","96045000000","106046000000","89486000000","99100000000","166400000000","219563000000","305813000000","344440000000","315710000000","454915000000","399976000000","428966000000","477265000000","581999000000","670325000000","611112000000","749348000000","",
"Congo, République du","COG","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","3621000000","3786000000","3212000000","4330000000","5810000000","7178000000","8205000000","9000000000","8566000000","11182000000","12131000000","17264500000","23800000000","","21596000000","25000000000","","30208000000","","","","","33250000000","31000000000","","","","","","","","39911000000","49280000000","54503000000","65665000000","53230000000","66182000000","80555000000","93020000000","","108164000000","","","181341000000","348510000000","","297650000000","218394000000","162422000000","175760000000","171710000000","173648000000","165801000000","",
"Colombie","COL","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","504000000","652000000","1060000000","1530000000","1710000000","1940000000","2330000000","2590000000","2300000000","2280000000","3000000000","5260000000","3730000000","4110000000","5080000000","7050000000","7950000000","10300000000","14100000000","19900000000","28900000000","34800000000","42800000000","67800000000","89700000000","102000000000","132000000000","175000000000","258000000000","331000000000","447000000000","577000000000","837000000000","1320000000000","1694000000000","2391000000000","4477000000000","3410000000000","4834000000000","5703000000000","6322000000000","7507000000000","8383000000000","9434000000000","10664000000000","11405000000000","12577000000000","14082000000000","17810000000000","19496000000000","19787000000000","19048000000000","21035000000000","23367000000000","23713000000000","25025600000000","26527877000000","29529600000000","29962000000000","33346100000000","35290000000000","38113700000000","42302296000000","",
"Cabo Verde","CPV","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","313000000","311000000","357000000","360000000","366000000","","","","242000000","220000000","281000000","477000000","352000000","382000000","443000000","518000000","814000000","571600000","529700000","565000000","573000000","628000000","614000000","640000000","809900000","667000000","686000000","774000000","835600000","815200000","835200000","887100000","1014300000","918900000","1000880000","958000000","1091100000","1045590000","1074653000","",
"Costa Rica","CRI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Cuba","CUB","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","784000000","841000000","811000000","842000000","1109000000","1133000000","1386000000","1335000000","1307000000","1300000000","1350000000","1377000000","1380000000","1160000000","","300000000","","","","","","","","","","1259000000","1303000000","1649700000","1707900000","1892400000","2021600000","2098900000","2140100000","2128000000","2880000000","2710000000","2852000000","2687000000","2807058107.08456","2781951261.45075","2919427181.90076","","","","","",
"Chypre","CYP","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","32170000","43140000","163990000","194390000","207050000","322000000","332000000","484000000","228000000","251000000","231000000","357000000","469000000","428000000","269000000","299000000","360000000","253000000","255000000","271000000","302000000","304000000","295000000","309800000","339300000","360600000","345100000","322600000","289910000","269690000","295660000","267060000","318520000","381600000","414100000","424100000","458150000","469910000","",
"République tchèque","CZE","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23776600000","27007700000","28275200000","30508800000","31328300000","37643100000","41688100000","44669700000","44977500000","48924100000","53193900000","52481200000","58445000000","55358400000","54948800000","49827100000","51823900000","47705700000","43785200000","43474000000","42053000000","41990000000","43783000000","47783000000","48892200000","58893400000","66735000000","75500400000","85359900000","93544900000","",
"Allemagne","DEU","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","5830696094.40509","6340786696.01595","8293890569.94539","9589025574.10921","9410460918.03691","9584319072.89486","9748105315.15412","10303472458.447","9293476123.85312","10384424279.3337","10863546102.9542","12248198760.2149","13822052766.2923","15356372162.1692","17154255626.0495","18090849367.7044","18731874833.0984","19339954789.9919","20703898841.9095","21856991639.4244","23350835124.8579","25119538281.2092","26101314434.5219","27190398815.5216","27565036312.1836","28226770382.9207","28939334666.7727","29528588618.8089","29665077154.0249","30405880445.163","32907856490.7095","31561797143.4065","31541088538.0634","29612364340.4242","28374554521.0511","28388674024.6942","28237124685.5922","27722233452.7427","28071455842.8472","28806611332.5281","28760487620.6275","28848969843.4573","29338445969.7493","29236785543.5194","28813200434.2282","24384911000","28604335000","29306518000","30787930000","32053837000","32486502000","32488383000","34087896000","33321748000","33663747000","34417908000","36088079000","37683545000","39394226000","43837760000","46776500000","47787500000","53015030000","",
"Djibouti","DJI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","8000000","8000000","323000000","951000000","5262000000","5492000000","5533000000","5579000000","5439000000","5477000000","5520000000","5525000000","5530000000","5647000000","5976000000","5521000000","5458000000","5262000000","4359000000","4719000000","4746000000","4759200000","4625200000","4629300000","5909400000","7422300000","6638900000","7970300000","8800000000","6134700000","6446800000","","","","","","","","","","","","","","","",
